"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"3897"	"   11"	"   2"	"   6"	"   6"	"   3"	"   0"	"   0"	"   11"	"   10"	"    5"	"   21"	"   9"	"   8"	"   5"	"    2"	"    5"	"  26"	"    6"	"   1"	"    3"	"    0"	"   4"	"   0"	"  21"	"   5"	"   4"	"   7"	"   1"	"   2"	"   0"	"   1"	"   8"	"   3"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"3904"	"   15"	"  13"	"  19"	"  39"	"   3"	"   2"	"   0"	"    3"	"    8"	"    1"	"   10"	"   8"	"   7"	"   0"	"    0"	"    2"	"   2"	"    4"	"   1"	"    0"	"    0"	"   0"	"   3"	"   0"	"  19"	"  17"	"  12"	"   4"	"   0"	"   0"	"   2"	"   1"	"  22"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3912"	"    7"	"   7"	"   6"	"   6"	"   5"	"   0"	"   3"	"    9"	"    2"	"    0"	"    2"	"   0"	"   2"	"   2"	"    0"	"    2"	"   0"	"    0"	"   2"	"    4"	"    0"	"  14"	"   0"	"  16"	"  11"	"   4"	"   6"	"   7"	"   5"	"   3"	"   0"	"   3"	"   6"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"3915"	"   17"	"   5"	"  11"	"  17"	"   3"	"   0"	"   1"	"    2"	"   13"	"    9"	"    9"	"   3"	"   8"	"   1"	"    0"	"    0"	"   0"	"   17"	"  17"	"    1"	"    5"	"   0"	"  22"	"   1"	"   7"	"  16"	"  13"	"   0"	"   0"	"   0"	"   2"	"   2"	"  19"	"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Chthoniobacter"
"3916"	"    4"	"   2"	"   3"	"   4"	"   1"	"   1"	"   1"	"    0"	"    0"	"    0"	"    0"	"   1"	"   4"	"   0"	"    3"	"    2"	"   0"	"    0"	"   0"	"    0"	"    1"	"   3"	"   0"	"   0"	"   1"	"   0"	"   6"	"   5"	"   7"	"   8"	" 240"	"   9"	"   5"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3922"	"    4"	"  10"	"  15"	"  17"	"  33"	"   0"	"  29"	"   14"	"    3"	"    2"	"    1"	"   1"	"   0"	"   0"	"    1"	"    3"	"   1"	"    2"	"   0"	"    0"	"    0"	"   0"	"   1"	"   0"	"   4"	"   5"	"   1"	"  26"	"  20"	"   8"	"  14"	"   9"	"  12"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA"
"3925"	"    1"	"   5"	"   0"	"   1"	"   0"	"   0"	"   0"	"    0"	"    1"	"   62"	"   11"	"  27"	"  26"	"   0"	"    0"	"    1"	"   0"	"   43"	"   6"	"    4"	"    3"	"   0"	"   6"	"   0"	"   2"	"   2"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetivibrio"
"3926"	"   70"	"   7"	"   0"	"   0"	"   0"	"   2"	"   0"	"    0"	"    1"	"    3"	"    0"	"   8"	"   6"	"   0"	"    0"	"   29"	"   0"	"    0"	"   0"	"    2"	"    4"	" 110"	"   0"	"   3"	"   2"	"   9"	"   3"	"   0"	"   2"	"   0"	"   7"	"  12"	"   9"	"k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__SA-8"
"3928"	"    2"	"  13"	"   8"	"   9"	"   2"	"  10"	"   5"	"    1"	"    2"	"    4"	"    3"	"  12"	"  15"	"   2"	"    0"	"    0"	"   3"	"    7"	"   0"	"    0"	"    1"	"   0"	"   0"	"   0"	"   6"	"  18"	"  11"	"  22"	"   5"	"  14"	"  14"	"   7"	"  11"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3929"	"    0"	"   1"	"   1"	"   0"	"   4"	"  16"	"   6"	"    5"	"    0"	"    2"	"    1"	"   7"	"   6"	"  40"	"   17"	"   12"	"  19"	"    1"	"   3"	"    3"	"   22"	"   4"	"   2"	"   2"	"   0"	"   4"	"   2"	"  18"	"   6"	"  42"	"  12"	"   1"	"   4"	"k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL"
"3930"	"    0"	"   5"	"   1"	"   7"	"   0"	"   0"	"   0"	"    0"	"    0"	"    0"	"    0"	"  44"	"  27"	"   1"	"    0"	"    0"	"   0"	"    6"	"   1"	"    0"	"    0"	"   0"	"   0"	"   0"	"   0"	"   2"	"   3"	"   0"	"   0"	"   0"	"   1"	"   0"	"   2"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__0319-7L14;f__0319-7L14OR;g__0319-7L14OR"
"3935"	"    3"	"   7"	"   6"	"   8"	"   5"	"  16"	"   4"	"    3"	"    2"	"    6"	"    1"	"   0"	"   4"	"   1"	"    2"	"    1"	"   2"	"    4"	"   0"	"    2"	"    5"	"  20"	"   2"	"  11"	"   9"	"   4"	"  12"	"  18"	"  10"	"  15"	"  17"	"  13"	"  14"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3944"	"    2"	"   6"	"   0"	"   5"	"  14"	"   1"	"   6"	"   11"	"    0"	"    0"	"    0"	"   4"	"   0"	"   0"	"    0"	"    2"	"   0"	"    0"	"   0"	"    1"	"    1"	"   0"	"   0"	"   6"	"  10"	"   2"	"   6"	"   4"	"  10"	"   6"	"  14"	"   9"	"  12"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"3949"	"    1"	" 115"	"  34"	"   5"	"   1"	"   0"	"   1"	"    0"	"    2"	"    1"	"    3"	"   0"	"   0"	"   0"	"    0"	"    1"	"   0"	"    0"	"   0"	"    1"	"    0"	"   0"	"   0"	"   0"	"   1"	"  13"	"  14"	"   0"	"   0"	"   0"	"   0"	"   0"	"  11"	"k__Bacteria;p__Chlorobi;c__BSV19;o__BSV19CL;f__BSV19CL;g__BSV19CL"
"3950"	"   10"	"  11"	"   7"	"   8"	"   4"	"   1"	"   0"	"    0"	"    5"	"    6"	"   14"	"  11"	"   4"	"   0"	"    0"	"    4"	"   0"	"   17"	"   9"	"    0"	"    6"	"  14"	"   7"	"   0"	"  12"	"  11"	"  10"	"   7"	"   6"	"   1"	"   3"	"   3"	"  23"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3954"	"    4"	"   0"	"   0"	"   6"	"   5"	"  11"	"   3"	"    2"	"    2"	"    0"	"    0"	"   0"	"   0"	"  21"	"   11"	"   12"	"  68"	"    2"	"   0"	"    0"	"    6"	"  12"	"   1"	"   1"	"   1"	"   4"	"   0"	"  23"	"  15"	"  23"	"  33"	"  35"	"   2"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR"
"3956"	"    0"	"   0"	"   0"	"   0"	"   1"	"   0"	"   0"	"    0"	"    0"	"    0"	"   83"	"   0"	"   0"	"   0"	"    0"	"    0"	"   0"	"    0"	"   0"	"   17"	"    0"	"   0"	"   0"	" 103"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR"
"3957"	"    1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"   17"	"    3"	"   10"	"   3"	"   4"	"   0"	"    2"	"    2"	"   0"	"    8"	"   6"	"  228"	"    7"	"   0"	"   5"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma"
"3960"	"   12"	"   8"	"  14"	"   5"	"   3"	"   6"	"   1"	"    0"	"    2"	"    1"	"    2"	"  10"	"  11"	"   0"	"    0"	"    0"	"   1"	"    1"	"   3"	"    1"	"    1"	"   0"	"   3"	"   1"	"  21"	"  26"	"  20"	"   6"	"   0"	"   3"	"   3"	"   0"	"  27"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR"
"3961"	"   14"	"  12"	"   4"	"  17"	"   7"	"  23"	"   3"	"    7"	"    2"	"    2"	"    5"	"   2"	"   1"	"   2"	"    0"	"    0"	"   3"	"    0"	"   0"	"    0"	"    0"	"   0"	"   2"	"   0"	"  24"	"  20"	"  25"	"  15"	"  11"	"  10"	"   8"	"  16"	"  24"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__Pirellulaceae;g__PirellulaceaeFA"
"3964"	"    7"	"   5"	"   2"	"   6"	"  39"	"   0"	"   8"	"    0"	"    2"	"    5"	"    3"	"   1"	"   0"	"   0"	"    0"	"   16"	"   2"	"    0"	"   0"	"    1"	"   29"	"   8"	"   0"	"   4"	"   6"	"   4"	"   3"	"  12"	"  19"	"  13"	"  13"	"  10"	"  17"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA"
"3967"	"    1"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"    0"	"   30"	"    9"	"    8"	"  48"	"  45"	"   7"	"    0"	"   16"	"   0"	"    3"	"   0"	"    2"	"    1"	"  16"	"   0"	"  11"	"   0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__WS1;c__WS1PH;o__WS1PH;f__WS1PH;g__WS1PH"
"3972"	"    1"	"   6"	"   7"	"   5"	"   0"	"   0"	"   0"	"    0"	"    3"	"    2"	"   10"	"  43"	"  35"	"   0"	"    0"	"    0"	"   0"	"   12"	"  10"	"    2"	"    0"	"   0"	"   9"	"   0"	"   7"	"   2"	"   2"	"   1"	"   0"	"   0"	"   0"	"   0"	"  16"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__MC47;f__MC47OR;g__MC47OR"
"3978"	"   14"	"   5"	"   5"	"   1"	"   1"	"   2"	"   0"	"    2"	"    3"	"    2"	"    7"	"   8"	"   2"	"   0"	"    0"	"    1"	"   0"	"    2"	"   0"	"    0"	"    1"	"   0"	"   2"	"   1"	"  10"	"   4"	"   8"	"   0"	"   0"	"   1"	"   1"	"   0"	"  18"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__RhodocyclalesOR;g__RhodocyclalesOR"
"3982"	"    5"	"   1"	"   4"	"   0"	"   0"	"   0"	"   0"	"    0"	"    0"	"    8"	"    7"	"   6"	"   6"	"  19"	"    9"	"   71"	"   0"	"   40"	"   7"	"    2"	"   18"	"  33"	"  18"	"   6"	"   1"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   3"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Thermosinus"
"3984"	"    1"	"   0"	"   0"	"   0"	"  15"	"  68"	"  18"	"   10"	"    0"	"    0"	"    0"	"   0"	"   0"	"  10"	"    0"	"    0"	"   7"	"    0"	"   0"	"    6"	"    0"	"   1"	"   0"	"  67"	"   3"	"   0"	"  20"	"  21"	"  27"	"   2"	"  33"	"   6"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"3985"	"    2"	"  40"	"   6"	"   6"	"   0"	"   0"	"   2"	"    0"	"    0"	"    0"	"    2"	"  16"	"   3"	"   0"	"    0"	"    1"	"   0"	"    2"	"   1"	"    4"	"    0"	"   0"	"   4"	"   2"	"  22"	"   9"	"   6"	"   2"	"   0"	"   0"	"   0"	"   3"	"  13"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"3986"	"   10"	"   9"	"   2"	"  10"	"  16"	"   5"	"   8"	"   31"	"    5"	"    1"	"    1"	"   2"	"   0"	"   3"	"    4"	"    9"	"   1"	"    0"	"   0"	"    0"	"    3"	"   3"	"   0"	"   2"	"  16"	"   9"	"  11"	"  11"	"  13"	"  14"	"  15"	"  15"	"  11"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4000"	"    0"	"   7"	"   0"	"   0"	"   0"	"   2"	"   0"	"    0"	"    0"	"    3"	"    2"	"   1"	"   2"	"  11"	"   58"	"   12"	"   6"	"   15"	"   2"	"    0"	"   23"	"  60"	"  10"	"  14"	"   0"	"   0"	"   2"	"   1"	"   0"	"   5"	"   0"	"   2"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54;f__OPB54OR;g__OPB54OR"
"4007"	"    3"	"   0"	"  11"	"   8"	"   7"	"   8"	"   5"	"    8"	"    4"	"    0"	"    0"	"   3"	"   1"	"   0"	"    1"	"    1"	"  14"	"    4"	"   2"	"    0"	"    3"	"   0"	"   1"	"   1"	"   7"	"   7"	"   8"	"   7"	"   9"	"   7"	"   4"	"   6"	"   5"	"k__Bacteria;p__Chloroflexi;c__ChloroflexiPH;o__ChloroflexiPH;f__ChloroflexiPH;g__ChloroflexiPH"
"4009"	"    1"	"   4"	"   3"	"   1"	"  19"	"  68"	"  20"	"    3"	"    2"	"    0"	"    1"	"   1"	"   0"	"   0"	"    3"	"    1"	"  11"	"    0"	"   0"	"    3"	"    5"	"   1"	"   0"	"   7"	"   0"	"   1"	"   5"	"  39"	"  12"	"  16"	"  31"	"  19"	"   3"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"4012"	"    2"	"   2"	"   1"	"   0"	"   0"	"   0"	"   1"	"    0"	"    8"	"   12"	"    2"	"  16"	"  25"	"   1"	"    8"	"    2"	"   3"	"   33"	"   6"	"    1"	"    2"	"   0"	"   3"	"   0"	"   1"	"   2"	"   0"	"   0"	"   0"	"   0"	"   1"	"   0"	"   7"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus"
"4013"	"    4"	"   3"	"   5"	"   5"	"  16"	"   2"	"   9"	"    6"	"    3"	"    3"	"    1"	"   1"	"   1"	"   1"	"    0"	"    7"	"   4"	"    2"	"   1"	"    0"	"   10"	"   7"	"   0"	"   2"	"   3"	"   3"	"   2"	"  18"	"  41"	"  15"	"  14"	"  15"	"   6"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA"
"4021"	"    3"	"   6"	"   4"	"   2"	"   2"	"   1"	"   2"	"    2"	"    3"	"    2"	"    2"	"   3"	"   3"	"   1"	"    0"	"    0"	"   0"	"   16"	"   2"	"    0"	"    0"	"   0"	"   6"	"   1"	"  16"	"  14"	"   5"	"   1"	"   1"	"   2"	"   0"	"   0"	"   3"	"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR"
"4024"	"    0"	"   9"	"  10"	"   3"	"   1"	"   0"	"   0"	"    0"	"    9"	"   13"	"   12"	"  29"	"  25"	"   0"	"    0"	"    0"	"   0"	"    0"	"   5"	"    1"	"    1"	"   0"	"  12"	"   0"	"   5"	"   3"	"   4"	"   0"	"   0"	"   0"	"   0"	"   1"	"   4"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4027"	"    2"	"   1"	"   3"	"   7"	"  24"	"  88"	"  18"	"    7"	"    1"	"    0"	"    0"	"   1"	"   1"	"   2"	"    0"	"    3"	"   3"	"    0"	"   0"	"    0"	"    1"	"   0"	"   0"	"   7"	"   4"	"   3"	"   1"	"  13"	"  32"	"  20"	"  17"	"  15"	"   1"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"4030"	"    6"	"   7"	"   2"	"   0"	"  14"	"  10"	"   6"	"    1"	"    0"	"    2"	"    7"	"   3"	"   2"	"  33"	"   13"	"    5"	"  23"	"    4"	"   2"	"    2"	"   15"	"  11"	"   2"	"  11"	"   1"	"   3"	"   2"	"  20"	"   5"	"  13"	"  20"	"  14"	"   2"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR"
"4032"	"    0"	"  12"	"   5"	"  14"	"   0"	"   0"	"   0"	"    0"	"    2"	"    0"	"    3"	"   6"	"   7"	"   0"	"    0"	"    0"	"   0"	"    5"	"   5"	"    0"	"    0"	"   0"	"   8"	"   0"	"  10"	"   1"	"  15"	"   0"	"   0"	"   0"	"   0"	"   0"	"  11"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__Gemmata"
"4040"	"    8"	"  12"	"   4"	"   7"	"   2"	"   1"	"   2"	"    8"	"    9"	"    0"	"    6"	"   1"	"   6"	"  49"	"    4"	"   18"	"   1"	"   13"	"   0"	"    0"	"    4"	"  43"	"   0"	"   8"	"   7"	"   3"	"   5"	"   4"	"   3"	"   0"	"   1"	"   2"	"   3"	"k__Bacteria;p__ZB2;c__ZB2PH;o__ZB2PH;f__ZB2PH;g__ZB2PH"
"4041"	"    6"	"   3"	"   1"	"   1"	"   0"	"   0"	"   0"	"    0"	"   16"	"   73"	"    1"	"   3"	"   5"	"   0"	"    4"	"    2"	"   0"	"   54"	"   1"	"    9"	"    8"	"   0"	"   6"	"   0"	"   5"	"  10"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__RuminococcaceaeFA"
"4042"	"   11"	"   0"	"   0"	"   1"	"   2"	"   1"	"   0"	"    0"	"    8"	"   33"	"    4"	"   4"	"   0"	"  31"	"  103"	"   11"	"   1"	"   19"	"   0"	"    6"	"   11"	"   6"	"   6"	"  17"	"   9"	"   1"	"   0"	"   3"	"   3"	"   1"	"   0"	"   2"	"   3"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermacetogenium"
"4043"	"    0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    1"	"   31"	"    1"	"   0"	"   0"	"  12"	"   90"	"    0"	"   0"	"  113"	"   0"	"    1"	"    0"	"   0"	"   2"	"   0"	"   2"	"   0"	"   0"	"  12"	"   3"	"   0"	"   3"	"   9"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Syntrophomonadaceae;g__Syntrophomonas"
"4044"	"   12"	"   4"	"  13"	"   4"	"   3"	"   9"	"   5"	"    2"	"    8"	"    1"	"   10"	"   3"	"   1"	"  12"	"    0"	"    5"	"   6"	"    1"	"   1"	"    3"	"   13"	"  12"	"   5"	"   7"	"   8"	"  16"	"   8"	"   7"	"   6"	"   7"	"   6"	"   7"	"   8"	"k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL"
"4047"	"   27"	"  10"	"   9"	"  12"	"   6"	"   0"	"   4"	"   10"	"    3"	"    1"	"    5"	"   0"	"   0"	"  36"	"    1"	"    2"	"   3"	"    0"	"   0"	"    7"	"    2"	"   9"	"   0"	"  50"	"   9"	"  16"	"   6"	"   3"	"   8"	"   3"	"   7"	"   8"	"   7"	"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR"
"4048"	"    6"	"   0"	"   0"	"   0"	"   0"	"   1"	"   8"	"    0"	"    0"	"    0"	"    0"	"   0"	"   0"	"  52"	"    1"	"   18"	"   8"	"    0"	"   0"	"    5"	"   58"	" 117"	"   0"	"  12"	"   0"	"   0"	"   0"	"   0"	"   3"	"  12"	"   4"	"   4"	"   0"	"k__Bacteria;p__Thermotogae;c__Thermotogae (class);o__Thermotogales;f__ThermotogalesOR;g__ThermotogalesOR"
"4050"	"    9"	"  22"	"  14"	"  14"	"   4"	"   5"	"   0"	"    3"	"    4"	"    1"	"   14"	"   9"	"   6"	"   1"	"    3"	"    3"	"   1"	"    5"	"   4"	"    0"	"    4"	"   1"	"   2"	"   0"	"   5"	"  17"	"  18"	"   3"	"   2"	"   2"	"   1"	"   0"	"   9"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"4051"	"    0"	"   0"	"   0"	"   0"	"   6"	" 271"	"   9"	"    0"	"    0"	"    0"	"    1"	"   0"	"   0"	"   0"	"    1"	"    0"	"   4"	"    0"	"   0"	"    1"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   7"	"   2"	"   2"	"   0"	"   6"	"   0"	"   0"	"k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__ThermoproteiCL;f__ThermoproteiCL;g__ThermoproteiCL"
"4053"	"    9"	"  15"	"  18"	"   9"	"  13"	"   3"	"   3"	"   26"	"    4"	"    1"	"    5"	"   1"	"   2"	"   0"	"    0"	"    0"	"   0"	"    0"	"   0"	"    0"	"    3"	"   0"	"   0"	"  11"	"  21"	"  15"	"  22"	"   3"	"   6"	"   7"	"   7"	"   9"	"  14"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4054"	"    5"	"  10"	"  18"	"  10"	"  13"	"   2"	"   9"	"   10"	"    1"	"    2"	"    3"	"   0"	"   1"	"   3"	"    0"	"    4"	"   3"	"    4"	"   1"	"    0"	"    5"	"   8"	"   3"	"   0"	"   8"	"   1"	"   8"	"   3"	"  10"	"   7"	"   1"	"   2"	"   3"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__HaliangiaceaeFA"
"4065"	"    1"	"   9"	"   2"	"   3"	"   7"	"   1"	"   4"	"    3"	"    0"	"    1"	"    0"	"   2"	"   3"	"   3"	"    0"	"    0"	"   0"	"    0"	"   0"	"    0"	"    2"	"   1"	"   0"	"   9"	"   3"	"   1"	"   9"	"   4"	"  28"	"   5"	"  16"	"  14"	"  14"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4067"	"   17"	"   5"	"   8"	"   7"	"   0"	"   3"	"   0"	"    0"	"   17"	"    4"	"   17"	"  29"	"   9"	"   0"	"    2"	"    0"	"   0"	"   12"	"  16"	"    5"	"    0"	"   0"	"  15"	"   0"	"  10"	"   7"	"  10"	"   0"	"   0"	"   0"	"   0"	"   0"	"  14"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"4068"	"    9"	"   8"	"  10"	"   2"	"   8"	"   0"	"   4"	"   11"	"    6"	"    5"	"    2"	"   6"	"   5"	"   4"	"    3"	"   19"	"   2"	"   20"	"   0"	"    1"	"    2"	"  16"	"   0"	"   0"	"   5"	"   5"	"   5"	"  13"	"   8"	"   4"	"  11"	"  15"	"   8"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"4080"	"    0"	"   0"	"   0"	"   0"	"   9"	"  53"	"   4"	"    0"	"    0"	"    0"	"    1"	"   0"	"   0"	"  25"	"    9"	"   12"	"  27"	"    2"	"   0"	"    4"	"   13"	"  27"	"   1"	"  10"	"   0"	"   0"	"   1"	"  10"	"   1"	"  10"	"  37"	"  16"	"   2"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"4083"	"    9"	"  14"	"   6"	"  14"	"   1"	"   3"	"   4"	"   20"	"    7"	"    2"	"    6"	"   9"	"   7"	"   2"	"    0"	"    1"	"   7"	"    3"	"   2"	"    0"	"    3"	"   5"	"   3"	"   7"	"  21"	"  12"	"   8"	"   5"	"   1"	"   3"	"   2"	"   1"	"  15"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4099"	"    3"	"  14"	"   8"	"   8"	"   6"	"   5"	"   3"	"    3"	"    3"	"    0"	"    0"	"   5"	"  10"	"   0"	"    0"	"    0"	"   1"	"    1"	"   1"	"    2"	"    2"	"   0"	"   1"	"   1"	"  10"	"   4"	"  13"	"   7"	"   4"	"   6"	"   5"	"   5"	"  11"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"4101"	"   25"	"  13"	"   5"	"   2"	"   2"	"   1"	"   1"	"    4"	"    0"	"    0"	"    0"	"   0"	"   0"	"   0"	"    0"	"    0"	"   0"	"    0"	"   0"	"    0"	"    2"	"   0"	"   1"	"   1"	"  26"	"  54"	"  50"	"   0"	"   9"	"   2"	"   3"	"   2"	"  40"	"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia (class);o__MVP-88;f__MVP-88OR;g__MVP-88OR"
