OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage
6139	0	0	0	0	0	0	9	4	33	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__Lewinella
6140	6	4	1	0	2	0	19	0	0	0	0	0	0	4	0	3	0	0	0	0	0	1	7	4	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter
6141	0	0	3	0	1	1	1	1	5	1	0	0	0	1	1	1	0	1	3	9	5	1	15	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Tepidibacter
6142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	27	20	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
6143	0	0	0	0	0	0	0	1	44	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__Sva0725OR;g__Sva0725OR
6144	0	0	1	1	1	8	0	0	0	0	0	0	0	4	2	14	1	15	0	0	0	0	1	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
6145	0	0	0	0	0	0	32	12	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Nocardioidaceae;g__NocardioidaceaeFA
6146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	11	16	16	3	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Levilinea
6147	0	0	0	0	0	0	0	11	2	0	31	7	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales
6148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	6	3	23	3	k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH
6149	0	0	0	0	0	0	0	1	8	1	23	13	1	1	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__BRC1;c__PRR-11;o__PRR-11CL;f__PRR-11CL;g__PRR-11CL
6150	1	0	11	0	4	0	0	0	0	0	0	0	4	0	15	0	12	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
6151	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	24	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
6152	0	0	0	0	0	0	3	40	2	0	2	0	0	0	0	0	0	0	1	1	0	1	1	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR
6153	0	0	0	0	0	0	0	0	2	7	11	5	0	0	0	0	0	0	3	9	2	0	11	1	k__Bacteria;p__Chlamydiae;c__Chlamydiae (class);o__Chlamydiales
6154	0	0	0	0	0	0	0	4	0	5	13	15	0	0	0	0	0	0	2	3	0	1	7	0	k__Bacteria;p__Planctomycetes;c__PW285;o__PW285CL;f__PW285CL;g__PW285CL
6155	0	0	0	0	0	4	0	0	0	0	0	0	3	29	1	2	0	8	0	0	1	2	0	0	k__Bacteria;p__OP3;c__BD4-9;o__BD4-9CL;f__BD4-9CL;g__BD4-9CL
6157	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	9	5	3	15	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Rhodothermaceae;g__RhodothermaceaeFA
6158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	18	3	8	16	2	k__Bacteria;p__GN02;c__GN08;o__GN08CL;f__GN08CL;g__GN08CL
6159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	9	34	3	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-101;f__SHA-31;g__SHA-31FA
6160	0	0	3	0	0	0	0	0	0	0	0	0	0	2	6	0	14	1	0	0	0	0	0	0	k__Bacteria;p__TG3;c__TG3-2;o__TG3-2CL;f__TG3-2CL;g__TG3-2CL
6161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	11	1	1	7	1	k__Bacteria;p__GN02;c__BB34;o__BB34CL;f__BB34CL;g__BB34CL
6162	0	0	0	0	0	0	0	0	6	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinobacteria (class)CL;f__Actinobacteria (class)CL;g__Actinobacteria (class)CL
6163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	5	8	11	0	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__GemmatimonadalesOR;g__GemmatimonadalesOR
6164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	27	8	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__SyntrophaceaeFA
6165	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	12	12	3	3	14	4	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL
6166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	6	33	6	k__Bacteria;p__OP3;c__BD4-9;o__BD4-9CL;f__BD4-9CL;g__BD4-9CL
6167	0	0	0	0	0	0	15	4	1	0	1	0	0	0	0	0	0	0	11	1	0	4	14	0	k__Bacteria;p__Planctomycetes;c__ODP123;o__ODP123CL;f__ODP123CL;g__ODP123CL
6168	0	0	0	0	0	0	0	16	24	2	7	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
6169	0	0	0	0	0	0	7	22	11	1	9	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A4b;f__A4bOR;g__A4bOR
6170	0	0	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR
6171	0	0	0	0	0	0	9	1	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31;f__DRC31OR;g__DRC31OR
6172	0	0	0	0	0	0	0	19	16	5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR
6173	0	0	0	0	0	0	1	13	15	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea
6174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	17	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
6175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	14	9	11	1	k__Bacteria;p__WS3;c__PRR-12;o__GN03;f__GN03OR;g__GN03OR
6176	1	0	3	1	2	0	0	0	0	0	0	0	29	5	1	6	0	3	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__SJA-88
6177	0	0	0	0	0	0	0	23	2	2	9	5	0	0	0	0	0	0	1	0	0	1	6	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
6178	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	10	4	0	2	k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus
6180	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	10	9	20	7	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
6181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	39	7	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetivibrio
6182	0	0	0	0	0	0	41	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__ChloracidobacteriaCL;f__ChloracidobacteriaCL;g__ChloracidobacteriaCL
6183	0	0	0	0	0	0	5	3	40	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__PhycisphaeralesOR;g__PhycisphaeralesOR
6184	1	2	2	4	8	3	0	0	0	0	0	0	2	0	5	4	7	4	0	0	0	0	0	0	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MethanobacterialesOR;g__MethanobacterialesOR
6185	0	0	0	0	0	0	0	14	21	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA
6186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	47	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales
6187	0	0	0	0	0	0	5	10	13	15	0	0	0	0	0	0	0	0	1	0	0	0	6	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__AlcanivoracaceaeFA
6188	2	2	4	3	1	1	3	2	2	0	1	1	1	1	1	1	1	2	2	1	0	2	5	2	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter
6189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	3	2	14	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA
6190	0	0	0	0	0	0	1	1	13	10	20	0	0	0	0	0	0	0	0	0	0	0	5	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__NB1-jOR;g__NB1-jOR
6191	0	0	0	0	0	0	0	1	14	3	32	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__agg27;o__OM190;f__OM190OR;g__OM190OR
6192	0	4	1	4	8	5	0	0	0	0	0	0	1	8	4	4	4	2	0	0	0	0	0	0	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadetes (class)CL;f__Gemmatimonadetes (class)CL;g__Gemmatimonadetes (class)CL
6193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	14	22	8	0	k__Bacteria;p__Planctomycetes;c__Kueneniae;o__KueneniaeCL;f__KueneniaeCL;g__KueneniaeCL
6194	0	0	0	0	0	0	5	9	8	13	6	5	0	1	0	0	0	0	0	1	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae
6195	0	0	0	0	0	0	0	0	2	0	10	38	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Euzebiales;f__Euzebiaceae;g__EuzebiaceaeFA
6196	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	12	0	31	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__HyphomonadaceaeFA
6197	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	6	7	14	19	k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__SpirochaetaceaeFA
6198	0	0	0	0	0	0	2	5	19	1	21	1	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__PhycisphaeraceaeFA
6199	0	0	0	0	0	0	0	2	1	3	41	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	4	4	11	3	k__Bacteria;p__WS3;c__PRR-12;o__LD1-PA13;f__LD1-PA13OR;g__LD1-PA13OR
6201	0	0	0	0	0	0	24	6	4	5	5	0	0	0	0	0	0	0	0	0	2	1	2	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Lutibacterium
6202	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	4	10	10	10	11	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
6203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	12	26	3	k__Bacteria;p__Proteobacteria
6204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	8	15	9	1	k__Bacteria;p__OP3;c__PBS-25;o__PBS-25CL;f__PBS-25CL;g__PBS-25CL
6205	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	8	11	6	6	10	4	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
6206	1	16	2	28	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA
6207	2	0	1	0	2	2	0	0	0	0	0	0	5	22	1	5	0	9	0	1	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA
6209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	11	5	21	9	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__NT-B4;f__NT-B4OR;g__NT-B4OR
6210	0	0	0	0	0	0	12	12	18	4	1	0	0	0	0	0	0	0	1	0	2	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31;f__DRC31OR;g__DRC31OR
6211	0	0	0	0	0	0	0	0	2	44	0	3	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR
6212	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1	0	1	1	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA
6213	0	0	0	0	0	0	6	14	26	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadetes (class)CL;f__Gemmatimonadetes (class)CL;g__Gemmatimonadetes (class)CL
6214	0	0	2	0	0	1	0	0	0	0	0	0	0	45	0	0	1	1	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__ShewanellaceaeFA
6215	0	0	0	0	3	5	0	0	0	0	0	0	0	3	2	1	0	0	0	1	10	11	0	13	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA
6216	0	0	0	0	0	0	0	0	0	13	1	1	0	0	0	0	0	0	1	7	2	3	3	19	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__OPB11;f__OPB11OR;g__OPB11OR
6217	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	2	2	0	25	1	k__Bacteria;p__Verrucomicrobia;c__R76-B18;o__R76-B18CL;f__R76-B18CL;g__R76-B18CL
6218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	18	1	11	k__Bacteria;p__TG3;c__TG3-1;o__GN09;f__GN09OR;g__GN09OR
6219	0	0	0	0	0	0	3	10	15	6	15	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__NB1-j;f__NB1-jOR;g__NB1-jOR
6221	0	0	0	0	0	0	36	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	3	3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
6222	0	0	0	1	1	0	0	0	0	0	0	0	4	9	9	0	17	7	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfococcus
6223	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	8	13	5	6	11	0	k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__Verruco-5CL;f__Verruco-5CL;g__Verruco-5CL
6224	0	0	0	0	0	0	0	2	0	0	12	36	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR
6225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	14	1	20	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__PhycisphaeraceaeFA
6226	3	3	5	12	4	1	0	0	0	0	0	0	0	2	4	0	9	1	0	0	0	0	0	0	k__Bacteria;p__ZB2;c__ZB2PH;o__ZB2PH;f__ZB2PH;g__ZB2PH
6227	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	28	5	3	9	0	k__Bacteria;p__OP8;c__OP8_2;o__OP8_2CL;f__OP8_2CL;g__OP8_2CL
6228	0	0	0	0	0	0	28	3	9	1	6	0	0	0	0	0	0	0	1	0	1	0	1	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__VerrucomicrobiaceaeFA
6229	0	0	0	0	0	0	11	7	9	0	4	1	0	0	0	0	0	0	2	9	3	0	4	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
6230	0	0	0	0	0	0	5	0	1	2	2	0	0	0	0	0	0	0	6	4	1	5	13	11	k__Bacteria;p__Planctomycetes;c__C6;o__C6CL;f__C6CL;g__C6CL
6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	2	7	20	2	k__Bacteria
6232	0	0	0	0	0	0	4	2	4	1	14	0	0	2	0	1	0	0	1	5	6	1	3	6	k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL
6233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3	2	34	2	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A4b;f__A4bOR;g__A4bOR
6234	0	0	0	0	0	0	0	0	0	0	0	0	13	9	15	5	0	8	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
6235	0	0	0	0	0	0	0	6	1	40	0	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea
6236	1	1	2	3	2	0	0	0	0	0	0	0	5	18	3	2	2	7	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__KSA2
6237	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	14	12	4	8	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__GCA004OR;g__GCA004OR
6238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	8	23	5	k__Bacteria;p__CCM11b;c__CCM11bPH;o__CCM11bPH;f__CCM11bPH;g__CCM11bPH
6239	0	0	0	0	0	5	0	0	0	0	0	0	3	9	0	7	0	0	0	1	3	1	3	18	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Sporanaerobacter
6240	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	0	0	0	0	22	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Sulfobacillaceae;g__SulfobacillaceaeFA
6241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	1	0	2	7	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__ShewanellaceaeFA
6242	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4	18	4	2	16	2	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Rubrobacterales;f__Rubrobacteraceae;g__RubrobacteraceaeFA
6243	2	2	2	1	5	3	0	0	0	0	0	0	16	4	3	2	4	1	0	0	0	1	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL
6244	0	0	0	0	0	0	0	0	1	36	0	1	0	0	0	0	0	0	0	0	0	0	0	12	k__Bacteria;p__Acidobacteria;c__BPC102;o__BPC102CL;f__BPC102CL;g__BPC102CL
6245	5	5	0	0	5	0	0	0	0	0	0	0	0	0	1	0	7	3	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__ML615J-28;o__ML615J-28CL;f__ML615J-28CL;g__ML615J-28CL
6247	0	0	0	0	0	0	5	2	0	2	0	0	0	0	0	0	0	0	3	11	3	7	12	5	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR
6248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	10	13	9	3	k__Bacteria;p__KSB1;c__MSB-5B5;o__MSB-5B5CL;f__MSB-5B5CL;g__MSB-5B5CL
6249	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	11	14	3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA
6250	0	0	0	0	0	0	0	0	2	44	1	1	0	0	0	0	0	0	0	0	0	0	1	1	k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__Verruco-5CL;f__Verruco-5CL;g__Verruco-5CL
6251	0	0	0	0	0	0	0	0	0	0	0	0	15	7	8	4	5	11	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfurellales;f__Desulfurellaceae;g__DesulfurellaceaeFA
6252	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	24	1	0	0	21	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA
6253	4	1	4	3	3	9	0	0	0	0	0	0	2	5	4	3	5	4	0	0	0	0	0	1	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloarcula
6254	0	0	0	0	0	0	0	0	4	33	0	0	0	0	0	0	0	0	0	1	1	1	0	10	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA
6255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae;g__XenococcaceaeFA
6256	0	0	0	0	0	0	0	37	8	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Planctomycetes;c__agg27;o__OM190;f__OM190OR;g__OM190OR
6257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	12	24	0	k__Bacteria;p__Fusobacteria;c__Fusobacteria (class);o__Fusobacteriales;f__Fusobacteriaceae;g__FusobacteriaceaeFA
6258	0	0	0	0	0	0	0	0	0	0	0	0	5	22	6	6	1	9	0	0	0	0	0	0	k__Archaea;p__ArchaeaKI;c__ArchaeaKI;o__ArchaeaKI;f__ArchaeaKI;g__ArchaeaKI
6259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	5	3	0	10	3	k__Bacteria;p__OP8;c__OP8_2;o__OP8_2CL;f__OP8_2CL;g__OP8_2CL
6260	0	0	0	0	0	0	0	21	1	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR
6261	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	6	0	22	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__agg27;o__CL500-15;f__CL500-15OR;g__CL500-15OR
6262	0	0	0	0	0	0	11	1	12	6	7	2	0	0	0	0	0	0	0	1	0	1	7	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__RhodobacteralesOR;g__RhodobacteralesOR
6263	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	7	19	1	2	15	1	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea
6264	0	0	0	0	0	0	0	0	1	17	3	26	0	0	0	0	0	0	0	0	1	0	0	1	k__Bacteria;p__Planctomycetes
6265	0	0	0	0	0	0	1	5	5	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces
6266	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	21	6	1	3	16	0	k__Bacteria;p__GN04;c__GN15;o__GN15CL;f__GN15CL;g__GN15CL
6267	0	0	0	0	0	0	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus
