KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K03405	10.706	10.498	10.598	10.142	10.282	10.308	9.8048	9.9561	9.9955	9.9146	9.7891	9.9045	10.485	10.577	10.602	10.725	10.162	10.313	7.7934	9.2809	10.195	10.379	10.391	10.061
K03406	12.518	12.032	12.231	12.666	12.402	13.019	12.554	12.739	13.028	13.182	13.081	13.256	14.313	14.472	14.274	14.016	13.582	13.227	12.846	15.006	14.036	13.829	14.181	13.956
K03407	11.154	11.179	11.286	11.616	11.504	11.777	11.354	11.486	11.721	11.904	11.764	11.918	12.145	12.048	12.466	12.114	11.86	11.561	10.394	13.675	12.234	11.985	12.192	11.989
K03408	9.9777	9.5163	9.613	10.143	10.01	10.682	9.9934	10.221	10.529	10.719	10.362	10.867	11.548	11.55	11.392	11.335	11.003	10.723	9.5892	11.931	11.26	11.234	11.335	11.285
K03409	7.9057	7.4416	7.3085	8.3901	7.6614	8.5424	7.8358	8.3071	8.868	8.8839	8.7656	8.91	8.8353	9.018	8.9956	8.9165	8.5112	8.3618	7.8883	7.6052	8.9395	9.0185	9.2969	9.0993
K03410	7.6405	7.1368	7.3219	7.804	7.8705	8.1849	8.0565	8.1087	8.907	9.488	8.1786	9.2364	9.7096	9.195	10.22	9.1555	9.8845	10.071	7.3861	12.754	9.8346	9.5159	9.0861	9.1242
K03411	8.5188	8.0968	8.2768	8.8276	8.6436	9.2746	9.0463	9.115	9.3673	9.4975	9.1881	9.6383	10.292	10.22	10.325	10.092	9.88	9.5805	7.8883	11.693	10.046	9.9515	10.107	10.007
K03412	10.472	10.296	10.306	10.72	10.611	10.837	10.396	10.603	10.758	10.894	10.706	11.05	11.53	11.393	11.577	11.356	11.154	10.841	8.7749	12.505	11.391	11.233	11.38	11.118
K03413	10.563	10.62	10.471	10.873	10.83	11.143	10.579	10.663	10.983	11.163	10.968	11.187	11.583	11.621	11.525	11.565	11.219	11.12	9.0389	12.307	11.393	11.389	11.483	11.342
K03414	7.712	8.0019	7.9279	7.8743	8.2598	8.2605	7.2062	7.4091	7.3467	7.3182	7.2639	7.385	8.3421	8.1419	8.0469	7.9599	7.988	7.4652	4.112	6.8731	7.8164	7.6694	8.2108	7.4434
