binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
R2A_A_D1_concoct.6	14.044	12.925	12.608	11.516	10.297	10.14	11.875	7.4508	9.4419	-2.9134	-2.6907	-5.0332	-2.9984	-1.541	-4.3792	-3.5127	-3.303	-4.8075	18.429	15.983	4.2619	17.575	14.239	12.102	12.757	10.146	13.51	-4.2105	-3.3319	-1.1422	-5.1109	-3.471	-3.2309	-2.9621	-3.2464	-6.0307	-2.6026	-0.98167	7.9378
R2A_A_D1_metabat.10	7.685	7.2105	7.1478	5.3437	4.2725	5.7568	5.5399	2.5775	5.6528	-3.6411	-3.6604	-3.208	-3.6458	-2.2149	-3.6826	-4.2131	-4.5282	-4.2757	19.225	16.675	3.3436	17.449	12.919	9.403	12.449	6.4075	10.29	-4.9535	-6.5806	-0.12247	-5.2317	-5.3651	-3.2309	-3.6571	-5.2636	-6.0307	-2.6535	-1.321	8.6964
R2A_A_D1_metabat.14	11.689	10.689	7.1203	9.4698	8.9606	4.9913	9.4714	6.764	3.9125	-3.3832	-3.3614	-5.1643	-3.6979	-3.071	-5.1563	-4.294	-3.514	-5.4604	17.427	14.097	2.0432	16.051	11.81	9.1214	11.738	9.6445	11.275	-2.7124	-2.3395	-1.1422	-4.711	-4.8128	-3.2309	-3.9356	-4.862	-3.8248	-2.8974	-0.49534	6.5905
R2A_A_D1_metabat.17	4.1942	3.6787	3.2344	1.5858	1.3104	5.4561	3.041	1.7422	4.8343	-0.74522	-1.0789	-1.4246	1.0984	0.50913	-1.9679	0.025565	1.2127	-1.9904	18.793	14.899	7.0859	15.644	9.3006	6.3128	11.408	8.5576	4.6816	-0.53784	-1.45	-1.1422	-0.063445	0.70604	-2.3194	0.098308	-0.9714	-1.8526	-0.58573	0.5023	15.152
R2A_A_D2_concoct.10	8.0991	7.2179	6.7722	6.0088	5.2259	4.1741	6.9722	4.7541	3.776	-0.18735	-0.269	0.64582	0.84506	1.9973	0.50043	1.8612	1.371	-0.70981	15.021	19.974	2.5568	13.941	11.59	9.2963	13.717	11.54	7.6141	-0.65391	-0.39884	1.6074	0.16097	1.0026	0.88953	3.3745	-0.47026	0.55854	5.0301	6.0719	5.8841
R2A_A_D2_concoct.25	11.651	9.9261	12.649	10.607	9.4668	12.938	9.8199	6.6363	12.75	-2.499	-1.5503	-2.8601	-3.1828	-1.0472	-3.3923	-4.3573	-2.4999	-4.6273	16.623	18.92	9.108	16.96	15.111	11.711	15.202	13.833	13.773	-1.8755	-1.0052	0.81955	-3.2785	-1.8889	-5.3326	-1.9981	-0.32037	-6.0307	-0.17567	-1.9608	4.7568
R2A_A_D2_concoct.37	4.3955	7.577	0.18676	3.1638	2.6404	-0.16194	4.2383	5.184	-0.28215	-4.0928	-3.8324	-3.5914	-2.6918	-2.608	-5.7873	-2.6213	-2.4321	-6.2439	19.785	18.491	-0.63435	14.213	13.336	0.040612	15.029	12.605	0.20526	-3.2093	-2.6231	0.81955	-2.7911	-2.4547	0.36035	-2.7313	-4.4471	-0.11043	-1.8448	3.2193	11.62
R2A_A_D2_concoct.51	8.4977	8.8009	8.0193	6.3372	5.4231	5.1914	6.5024	3.6108	4.3433	-3.063	-2.8523	-4.4958	-3.1907	-0.93279	-5.0112	-3.2593	-3.1859	-6.1253	18.149	19.053	2.6126	18.849	13.841	10.621	15.46	10.454	11.082	-5.1032	-4.4031	0.58353	-5.9243	-4.5028	-5.3326	-4.0943	-4.7122	-3.8248	-3.0993	-2.0643	7.4209
R2A_A_D2_concoct.59	1.4296	0.51902	1.0065	-0.054019	0.20397	-0.046188	0.72643	-0.25449	-0.3749	1.1825	0.66392	-2.2717	0.48069	1.0397	-1.9328	0.67882	0.64646	-2.9202	15.557	19.817	-0.10717	16.833	12.163	8.817	14.63	13.344	5.4875	-1.984	-1.3221	7.1038	-1.433	-1.0777	7.3072	-0.71911	-1.2643	5.393	1.0198	-0.15587	4.3577
R2A_A_D2_metabat.16	6.2657	4.047	10.582	0.43526	0.53124	10.483	5.9823	-0.88366	10.825	-6.6309	-14.731	-7.692	-7.193	-3.0933	-8.3526	-11.612	-9.4262	-9.398	15.71	18.862	6.1736	14.772	14.666	8.1379	13.221	11.047	8.5813	-9.1187	-7.0879	-1.7512	-13.414	-10.909	-3.2309	-8.3559	-10.654	-6.0307	-9.0954	-1.6811	2.5842
R2A_A_D2_metabat.7	4.3662	3.712	4.4639	2.6789	2.0607	4.8179	3.5886	1.0901	4.76	-3.1595	-3.0559	-5.8177	-3.4163	-1.431	-6.1456	-4.8831	-3.7125	-5.8098	12.802	19.187	2.0497	17.974	16.995	9.6261	13.829	9.4997	9.1057	-4.1205	-4.5743	0.035811	-4.9067	-3.1359	-5.3326	-3.8328	-1.9645	-6.0307	-3.1538	-3.7799	1.3694
