"CH4_H2"	"CH4_ac"	"MOB_I"	"MOB_II"	"MOB_IIa"	"MeOB"	"AOA"	"AOB"	"NOB"	"Anamx"	"SOxB"	"SRB_syn"	"SRB"	"FeOB"	"FeRB"	"Methanogen"	"Methanotroph"	"Methanogen_Troph"	"AOA_NOB"	"AO_NOB"
"MayberryNW_CattailC_D1"	5028.57969756168	4259.8220099848	8004.12415888865	1447.07329426235	198.972577961074	1673.17849649085	25486.5783951958	0	10762.6076260763	633.09456623978	6068.66362781275	49978.2939005861	32296.8670863179	3680.99269227987	11965.4873019318	9288.40170754649	9650.17003111207	0.962511715089035	2.36806722689076	2.36806722689076
"MayberryNW_CattailC_D2"	443.979973087983	2622.89707178132	765.011645936218	334.692595097095	61.4741501198746	177.591989235193	46057.799362035	54.6436889954441	14883.5747901341	450.810434212413	580.589195576594	78099.4924967384	13647.2613266122	1420.73591388155	2096.95156520017	3066.8770448693	1161.17839115319	2.64117647058824	3.09453877925654	3.09821018815971
"Browns_TuleA_D2"	711.969547441139	126.885661920203	17834.4847032285	0	5956.57690680953	8409.69970393346	13090.3707881009	7.04920344001128	69547.4411391513	119.836458480192	3383.61765120541	62032.9902720992	32799.9436063725	8219.37121105315	39193.5711264627	838.855209361342	23791.0616100381	0.0352592592592593	0.188222177174133	0.188323535374012
"Browns_TuleB_D1"	493.363465639622	23.8724257567559	7591.43139064837	0	628.640544927905	6182.95827099977	32283.4770983863	15.9149505045039	73877.2002419073	2172.39074386478	811.662475729701	38856.3516567463	9986.63144157622	3405.79940796384	15580.7365439093	517.235891396378	8220.07193557628	0.0629235237173282	0.436988367083154	0.437203791469194
"Browns_TuleB_D2"	356.057316543639	69.4745983499783	7442.46634824142	0	1623.96873643074	7598.78419452887	26678.2457663916	0	85306.1224489795	347.372991749891	1076.85627442466	49465.9140251845	11419.8871037777	3048.1980026053	23899.2618323925	425.531914893617	9066.43508467216	0.0469348659003832	0.312735416878754	0.312735416878754
"Browns_TuleC_D1"	1640.46383586913	549.168151063485	12412.608337499	0	4358.14212190125	5062.20385403392	22607.4222187801	21.1218519639802	45630.2408595185	2316.3630987165	2548.70347032028	49509.6210035696	17798.680588314	3217.56211584632	7350.40448346511	2189.63198693261	16770.7504594003	0.13056255247691	0.495448233297331	0.495911124826416
"Browns_TuleC_D2"	2254.69037654019	903.255166136896	20898.9802180224	0	10101.2886900042	5047.19680620005	11156.2355634313	6.89507760409843	57725.5897015121	482.655432286891	2861.45720570085	87691.5969689239	54960.6635822686	8411.99467700009	20368.0592425068	3157.94554267709	31000.2689080265	0.101868327402135	0.19326325848065	0.193382704252269
"Browns_ThreeSqA_D1"	891.989614692344	39.8209649416225	15020.46797598	0	3432.56717796786	7765.08816361638	20882.1140153869	15.928385976649	53901.6581449801	2166.26049282426	1521.16086076998	51448.6867045762	18715.8535225626	3775.02747646581	16613.3065736449	931.810579633966	18453.0351539479	0.0504963314630989	0.387411347517732	0.387706855791964
"Browns_ThreeSqA_D2"	1214.04360732356	98.2463034828315	36463.4137783423	0	17803.6337097103	7445.66628537744	7677.24685787268	14.0351862118331	55200.3873711394	161.40464143608	5621.09207783915	80014.5965936603	67902.2308928483	13207.1102253349	11480.7823212794	1312.28991080639	54267.0474880526	0.0241820768136557	0.13907958301551	0.139333841851004
"Browns_ThreeSqB_D1"	942.263013659217	71.928474325131	16708.984585728	0	3143.27432800823	5819.0135729031	19945.7659303589	7.19284743251311	49911.1683342085	3128.88863314321	1381.02670704252	51774.1158192294	18758.9461039942	6653.38387507463	17183.7125162738	1014.19148798435	19852.2589137362	0.0510869565217391	0.399625306240092	0.399769419224672
